code_dep,prix_m2
01,2073.9852190356473
02,1256.936180132544
03,1099.7802043092884
04,2003.4452836297903
05,2106.4003747465244
06,3182.8345573731917
07,1790.210242758449
08,1130.7251841393088
09,1378.2164708511007
10,1213.536613405145
11,1407.3451133276808
12,1320.099201904833
13,3706.4218434399336
14,1964.9055080290566
15,1216.6372308743287
16,1158.2485192235558
17,1674.4794851274266
18,1092.0130491767802
19,1241.9186795055352
21,1477.945315633537
22,1418.7217441637633
23,847.1211633970292
24,1449.2854792524492
25,1713.1592618119087
26,2137.3036605267853
27,1756.2172556001694
28,1618.1775889992887
29,1579.359238111919
2A,2759.51090506644
2B,2404.899383680014
30,2146.824049062278
31,1896.0626267256673
32,1430.6665258304647
33,2064.8299185513047
34,2235.6835108560203
35,1736.2591714351818
36,1039.7031346669073
37,1565.777823614283
38,2254.9487946268255
39,1362.8936629166408
40,1815.2963788611125
41,1320.810925805754
42,1582.728891267467
43,1218.9781898307622
44,2165.2190962392315
45,1545.4671653044018
46,1461.5712995401582
47,1453.0467798540092
48,1370.4178285889586
49,1593.3052111997424
50,1502.0989113016956
51,1503.2169030364992
52,892.2515846225084
53,1151.6697187284685
54,1400.0833728668933
55,1012.6729021970046
56,1860.5370308123775
58,1011.5561978537824
59,1686.1533653283184
60,1953.8632696960744
61,1286.3776793272013
62,1533.961972156655
63,1368.612846707012
64,1752.9734849851086
65,1527.035991977238
66,1874.953911137017
69,2706.5771809113594
70,1175.529418967066
71,1335.9132229760921
72,1248.2494679562758
73,2560.6405147693304
74,3654.4117442157994
75,10745.5435082873
76,1742.9226096331258
77,2457.7504370018682
78,3272.6789227743675
79,1084.9574992983507
80,1386.1263713929204
81,1523.1005066643945
82,1559.2559431338846
83,3154.2393198766686
84,2856.2014740583086
85,1629.8964484320704
86,1188.7694185108892
87,1175.3250855862077
88,1103.7089233844633
89,1180.7623020808328
90,1685.6931830652525
91,3029.705862033145
92,6690.027553908452
93,3972.756055009937
94,4728.056113584896
95,3114.5005108270325
