code_dep,prix_m2
01,1958.707031898841
02,1203.5995342893757
03,1105.0484113158923
04,1900.2530411842947
05,2078.044710634867
06,3322.967139853243
07,1742.2952686583428
08,1174.6131641270129
09,1396.376970884195
10,1222.723860806303
11,1396.9129610442817
12,1281.0030560594869
13,3495.265579509073
14,1775.5626451920273
15,1125.3815775870814
16,1153.2590532867434
17,1563.1628617588299
18,1116.6247288813308
19,1221.5492838037287
21,1450.352109756856
22,1326.1276785838343
23,899.8693487508503
24,1407.8318093042571
25,1656.6233202989742
26,1999.5098212762248
27,1692.2879446473444
28,1597.7999436626176
29,1439.110241393061
2A,2821.5581102223987
2B,2479.8146358608747
30,2094.816137726706
31,1887.6099993021314
32,1433.499953115766
33,1910.9838320406852
34,2130.324172499813
35,1623.6545368014176
36,996.6186559450057
37,1510.2826182771973
38,2128.548199497113
39,1358.3286683052913
40,1717.1127735070456
41,1278.0025993000622
42,1510.1196413406835
43,1169.7892154847982
44,1961.8904138422702
45,1497.6126367657528
46,1475.117867738736
47,1413.4052105913984
48,1332.7979572045185
49,1455.6029675718733
50,1399.1238239091062
51,1529.201789042241
52,927.4187860049722
53,1173.4443243666997
54,1366.36454003669
55,991.272347722847
56,1663.4268842825036
58,998.9289222048563
59,1604.6643748181577
60,1909.3522389848736
61,1185.971583068709
62,1461.761869368228
63,1323.2487730193905
64,1711.1664928328419
65,1531.846658333611
66,1818.7462493550017
69,2471.161259144066
70,1104.348570978286
71,1294.957538523553
72,1235.2677673931728
73,2441.3841567571194
74,3455.9288844679395
75,9698.55547231067
76,1665.7680131870059
77,2373.7173048497125
78,3125.7115735505085
79,1037.8016490771636
80,1397.2365506524136
81,1387.3095440208383
82,1472.177457055975
83,3139.424048611338
84,2693.0688684849697
85,1520.3888782027238
86,1161.281479614571
87,1140.3936562467002
88,1113.8072013499097
89,1181.8720627231394
90,1623.486396785538
91,2922.234381825246
92,6091.926145452797
93,3590.0876558672053
94,4344.992818020825
95,2956.9588273488853
