code_dep,prix_m2
01,1976.3580945312453
02,1196.4072269814326
03,1054.9110232072119
04,1938.2749193995492
05,2060.2742600457177
06,3149.2979113778433
07,1758.4339241079115
08,1129.1888703219697
09,1318.5498108688037
10,1189.7727791134057
11,1369.9916770615998
12,1263.4824859182504
13,3507.997686626749
14,1807.008649694134
15,1127.3828484016865
16,1160.4250393817142
17,1616.1555152598808
18,1064.1015948729048
19,1209.8684102436323
21,1392.9591153975855
22,1323.2568412400524
23,865.9437498042396
24,1458.7302161682546
25,1649.9846640836963
26,2026.0130666454413
27,1665.279896452239
28,1590.0572667239317
29,1447.1081581065373
2A,2675.5585794348763
2B,2275.1867479896064
30,2033.7381875441251
31,1843.4901991439235
32,1415.8886393046237
33,1943.1103440374409
34,2106.2062624182136
35,1622.870582914807
36,1016.7029966797439
37,1541.7502915364196
38,2155.708192612712
39,1366.5563718397336
40,1739.9348558142622
41,1290.3146171331298
42,1484.1474615608076
43,1149.8432500936237
44,2000.5355178261373
45,1511.5257746050097
46,1472.799148780181
47,1372.629580639749
48,1386.8481014434283
49,1502.7434128499515
50,1398.0925546606918
51,1500.2652587464154
52,929.5113055724354
53,1137.8196406325887
54,1317.9231709425007
55,927.3818448726144
56,1739.8088791997397
57,1256.0
58,983.9521104995599
59,1618.6795247116916
60,1896.6206588276796
61,1238.3077931227817
62,1461.8578154067186
63,1347.3429135899994
64,1642.3255960696886
65,1501.9219363431014
66,1759.1527093019477
69,2516.5575684258847
70,1098.5186628077286
71,1334.2006001627333
72,1232.02604209382
73,2475.636146638712
74,3476.5751571660453
75,10122.9329645809
76,1673.3616340309316
77,2338.6691490771664
78,3149.473205974507
79,1035.6938675020103
80,1376.1292398862136
81,1396.883075666331
82,1481.859389593977
83,3083.125633464028
84,2653.4618231031923
85,1525.0895774015682
86,1127.97923616911
87,1161.9601650281668
88,1060.849119168358
89,1152.6028728662625
90,1621.6467625487824
91,2910.035160199165
92,6281.38021728397
93,3738.3339093206523
94,4467.135775371636
95,2993.4012180756094
