code_dep,prix_m2
01,2450.1522466977717
02,1366.46391765539
03,1184.9803682482395
04,2253.1114123406483
05,2601.032203919637
06,3656.5622410998008
07,2146.462050808218
08,1253.1108196145533
09,1556.7764564388485
10,1411.5460290917956
11,1585.348908207087
12,1472.071940681277
13,4256.704718272171
14,2388.1525222181263
15,1347.5738778726663
16,1363.4445033107686
17,2045.2170506142984
18,1187.8870545994578
19,1371.6512957256245
21,1697.2188053348177
22,1795.253682445153
23,967.4117190270489
24,1720.0431723943354
25,1943.770309004455
26,2507.1849702877475
27,2053.1588604222597
28,1897.8734406620558
29,2026.4036484322469
2A,3146.9363623098475
2B,2409.4626612739607
30,2521.4208990771126
31,2206.201416478699
32,1745.4257472559584
33,2388.3469061766255
34,2607.4673492150496
35,2156.5733923147236
36,1089.3829107268905
37,1852.3078164211804
38,2700.295600602233
39,1686.733247959156
40,2248.246405705417
41,1529.3947149305163
42,1835.51232879472
43,1365.084480891746
44,2648.750966829588
45,1757.1918833736127
46,1746.3238391094028
47,1709.9564377480062
48,1517.4390385968113
49,1978.1516215787567
50,1806.6623853182812
51,1727.105364231644
52,972.5432932071683
53,1323.5627066483605
54,1614.7030440538322
55,1072.345066604078
56,2379.851921585865
58,1138.6478707273777
59,1909.9920949733757
60,2209.464036311394
61,1476.786330757472
62,1730.5004788493363
63,1579.7241524279516
64,2079.34181595909
65,1777.8732696823517
66,2169.732598409865
69,3324.986475510828
70,1310.9650349353976
71,1591.17250957037
72,1438.6554986403655
73,3134.167793291086
74,4276.450803286015
75,10697.7976852135
76,2029.316083433514
77,2755.5598886566017
78,3743.1611186963164
79,1261.0836878790226
80,1582.1715446379653
81,1759.1539727741365
82,1845.702255647411
83,3818.018130473148
84,3408.067129134316
85,2058.4110124901117
86,1342.095812689097
87,1381.0303920967363
88,1248.0603480388486
89,1360.3509219395203
90,1862.7160420166774
91,3395.923923681644
92,7057.526207817558
93,4331.9221980459115
94,5141.5752729080805
95,3533.293407441824
