code_com;prix_m2
01001;2249.5
01002;1913.5
01004;2399.62025316456
01005;3287.96296296296
01007;2274.87179487179
01008;2538.8
01009;1862.66666666667
01010;2795.94444444444
01011;2210.8
01012;1925.375
01013;1006.5
01014;1763.6
01015;1926.55555555556
01016;2274
01017;1388.33333333333
01021;4077.33333333333
01022;2069.82352941176
01023;1845
01024;2348.79310344828
01025;2112.09090909091
01026;2300.33333333333
01027;3153.4
01028;2622.5
01029;1778.14285714286
01030;2287
01031;1913.38461538462
01032;3371.09523809524
01033;2444.85238095238
01034;2048.74468085106
01035;2369
01036;2036.8
01037;2470.75
01038;1586
01039;1396
01040;1399.66666666667
01041;2167.14285714286
01042;2939.5
01043;3926.64444444444
01044;2707.75
01045;2232.5
01046;2275.84615384615
01047;2989.5
01049;3244.14285714286
01050;1763.5
01051;1127
01052;1885
01053;2258.12080536913
01054;2817.14285714286
01056;1400.33333333333
01057;2238.66666666667
01058;2240.54545454545
01061;2430.35714285714
01062;3683.2
01063;1691
01064;2087.36363636364
01065;2491.4375
01066;1713
01067;1701
01068;1235.5
01069;2236.35714285714
01071;4799.765625
01072;2501.18421052632
01073;1968.5
01074;2609.64705882353
01075;3188.4375
01076;702
01077;1463.33333333333
01078;4764.625
01079;2100.75
01080;1922
01081;2087.875
01082;2249.75
01083;3029.8
01084;1882.57142857143
01085;1420
01087;1307.33333333333
01088;3323.18181818182
01089;2335.05263157895
01090;1647.75
01092;2411.64285714286
01093;2890.37288135593
01094;2200
01095;1304.33333333333
01096;2597.14285714286
01098;2097.16666666667
01099;3086.61538461538
01100;842
01101;2541
01102;2333.27272727273
01103;4689.95652173913
01104;2234
01105;3830.86666666667
01106;2495.5
01107;1191
01108;1552.3
01109;3944.81578947368
01110;1860
01111;1996.16666666667
01112;2209.85714285714
01113;1526.4
01114;2754.14285714286
01115;2102.18181818182
01116;1917.83333333333
01117;2015.5
01118;2760
01121;538
01123;2553.92307692308
01124;1882.27272727273
01125;1343
01127;1634.77777777778
01128;1790.5
01129;3353
01130;2041.77777777778
01133;2414
01134;2281.46153846154
01135;4990.1
01136;2524.14285714286
01138;2053.68571428571
01139;2078.2
01140;2260.75
01141;1951.6
01142;3417.3829787234
01143;5986.08496732026
01145;2554.77777777778
01146;2771
01147;2182.33333333333
01148;2148
01149;2481.57142857143
01150;1706.66666666667
01151;2551.78571428571
01152;3313.5
01153;4787.93103448276
01155;1424.66666666667
01156;3708.57142857143
01157;3050.33333333333
01158;4074.06666666667
01159;2157.96875
01160;4744.95973154362
01163;2090.5
01165;3111.63636363636
01166;2925.89361702128
01167;2598.66666666667
01169;2470.25
01170;2829.5
01171;1916.83333333333
01173;4410.76958525346
01174;2347
01175;1819
01177;1080
01179;2381.31578947368
